price_usd,brand,model_family,condition_score,release_year,cpu_brand,cpu_family,cpu_generation,cpu_suffix,processor_speed_ghz,gpu_vendor,gpu,ram_gb,storage_type,ssd_gb,hdd_gb,storage_capacity_gb,has_dual_storage,screen_size_inch,resolution_width,resolution_height,os,has_touchscreen,has_backlit_keyboard,has_bluetooth,has_webcam,has_wifi
105.01,dell,latitude,3,-1,intel,core_i5,intel_6,unknown,2.6,unknown,Unknown,8,ssd,256,0,256,0,14,1920,1080,windows,0,0,0,1,1
39.95,dell,chromebook,3,2017,intel,celeron,unknown,unknown,1.6,unknown,Unknown,4,emmc,0,0,16,0,13.3,1366,768,chrome_os,0,0,1,1,1
90,lenovo,yoga,3,-1,intel,core_i3,intel_6,U,2.3,unknown,Unknown,8,ssd,128,0,128,0,11.6,1366,768,windows,1,0,0,0,0
599,lenovo,ideapad,6,2023,intel,core_i5,intel_11,G7,4.2,intel,Intel Iris Xe Graphics,20,ssd,1024,0,1024,0,15.6,1920,1080,windows,1,0,1,1,1
799.99,toshiba,qosmio,3,-1,intel,core_i7,unknown,unknown,1.73,unknown,Unknown,8,hdd,0,512,512,0,18.4,-1,-1,windows,0,0,0,0,0
169.99,dell,latitude,4,-1,intel,core_i5,intel_6,unknown,2.4,unknown,Unknown,16,ssd,512,0,512,0,14,-1,-1,unknown,0,0,0,0,0
239,dell,precision,3,-1,intel,core_i7,intel_6,unknown,2.7,unknown,Unknown,16,ssd,512,0,512,0,15.6,-1,-1,windows,0,0,0,0,0
169,dell,latitude,3,-1,intel,core_i7,intel_8,unknown,1.8,intel,Intel UHD Graphics 620,8,ssd,256,0,256,0,13.3,1920,1080,windows,0,0,1,1,1
289.99,hp,other,4,2018,intel,core_i5,intel_8,unknown,2.6,intel,Intel UHD Graphics 620,32,ssd,512,0,512,0,14,1920,1080,windows,0,0,0,0,1
90,dell,latitude,3,2017,intel,core_i7,unknown,unknown,-1,unknown,Unknown,8,unknown,-1,-1,-1,-1,14,-1,-1,unknown,0,0,0,0,0
105,lenovo,thinkpad,3,-1,intel,core_i5,intel_3,M,2.6,unknown,Unknown,8,hdd,0,128,128,0,12.5,-1,-1,unknown,0,0,0,0,0
200,dell,latitude,3,-1,intel,core_i5,intel_6,unknown,2.4,intel,Intel HD Graphics,8,ssd,256,0,256,0,14,1920,1080,windows,1,1,1,1,1
55,lenovo,chromebook,2,2020,mediatek,mediatek,unknown,unknown,2,arm,ARM Mali-G72 MP3,-1,emmc,0,0,32,0,10.1,1920,1200,chrome_os,1,0,1,1,1
659,hp,other,2,2023,intel,core_i5,intel_13,unknown,2.1,nvidia,NVIDIA GeForce RTX 3050,8,ssd,512,0,512,0,15.6,1920,1080,windows,0,1,0,0,0
229,dell,latitude,3,-1,intel,core_i5,intel_10,unknown,1.7,intel,Intel HD Graphics 630,16,ssd,512,0,512,0,14,1920,1080,unknown,0,1,1,1,1
210,hp,zbook,3,-1,intel,core_i7,intel_6,unknown,-1,unknown,Unknown,16,ssd,512,0,512,0,15.6,-1,-1,unknown,0,0,0,0,0
179.99,lenovo,thinkpad,3,2016,intel,core_i7,intel_6,unknown,2.6,intel,Intel HD Graphics 520,16,ssd,512,0,512,0,14.1,2560,1440,windows,0,1,1,1,0
1179.3,panasonic,toughbook,3,2018,intel,core_i5,intel_6,unknown,2.4,unknown,Unknown,16,ssd,-1,0,-1,-1,12,2160,1440,windows,1,1,1,1,1
125.96,dell,latitude,4,-1,intel,core_i5,intel_6,unknown,2.4,intel,Intel HD Graphics,8,ssd,256,0,256,0,14,1366,768,windows,0,1,1,1,1
89.99,lenovo,thinkpad,3,2020,intel,celeron,unknown,unknown,2.2,intel,Intel UHD Graphics,4,ssd,128,0,128,0,13,1366,768,windows,0,0,1,1,1
999,hp,probook,3,-1,intel,core_i5,intel_8,U,1.6,unknown,Unknown,8,ssd,256,0,256,0,15.6,-1,-1,unknown,0,0,0,1,0
229,lenovo,thinkpad,3,-1,intel,core_i5,intel_8,unknown,1.7,unknown,Unknown,16,ssd,256,0,256,0,14,1920,1080,windows,0,1,1,1,1
292.95,asus,vivobook,2,-1,intel,core_i3,intel_11,unknown,1.8,intel,Intel UHD Graphics,8,ssd,256,0,256,0,15.6,1920,1080,windows,0,1,1,1,1
184.99,dell,latitude,3,-1,intel,core_i5,intel_10,U,1.7,unknown,Unknown,16,ssd,512,0,512,0,14,1920,1080,other,0,1,1,1,1
259,hp,elitebook,3,-1,intel,core_i7,intel_4,unknown,2.1,intel,Intel HD Graphics 4000,8,ssd,256,0,256,0,11.6,1366,768,windows,1,1,1,1,1
114.99,olpc,other,3,-1,unknown,unknown,unknown,unknown,-1,unknown,Unknown,-1,unknown,-1,-1,-1,-1,7.2,-1,-1,linux,0,0,0,0,1
41,acer,other,3,2017,intel,celeron,unknown,unknown,2.48,intel,Intel HD Graphics 400,4,emmc,0,0,32,0,11.6,1366,768,chrome_os,1,0,0,0,0
74.99,dell,other,3,-1,intel,celeron,unknown,unknown,1.1,unknown,Unknown,4,ssd,128,0,128,0,11.6,1366,768,windows,1,0,0,0,0
510,hp,probook,3,-1,amd,other,unknown,unknown,-1,unknown,Unknown,16,ssd,256,0,256,0,14,-1,-1,unknown,0,0,0,0,0
169.99,lenovo,ideapad,2,-1,intel,celeron,unknown,unknown,1.1,intel,Intel UHD Graphics,4,emmc,0,0,128,0,14,1366,768,windows,0,1,1,1,1
44.75,hp,chromebook,3,-1,intel,celeron,unknown,unknown,1.1,unknown,Unknown,4,ssd,32,0,32,0,11.6,1366,768,chrome_os,1,0,1,1,0
179.95,lenovo,chromebook,3,-1,intel,celeron,unknown,unknown,-1,unknown,Unknown,4,ssd,16,0,16,0,11.6,-1,-1,chrome_os,0,0,0,0,0
219.99,dell,latitude,4,-1,intel,core_i7,intel_7,unknown,2.6,intel,Intel HD Graphics 620,16,ssd,512,0,512,0,12.5,1920,1080,windows,0,0,0,0,1
259.99,dell,latitude,4,-1,intel,core_i7,intel_8,unknown,1.9,unknown,Unknown,16,ssd,512,0,512,0,13.3,1920,1080,windows,0,0,0,0,1
389.82,dell,latitude,3,-1,intel,core_i5,intel_4,unknown,-1,intel,Intel HD Graphics 4400,-1,ssd,512,0,512,0,14,1366,768,windows,0,0,0,0,0
299.99,dell,latitude,3,2018,intel,core_i5,intel_4,unknown,2,intel,Intel HD Graphics,12,ssd,256,0,256,0,14,1366,768,windows,1,1,1,1,1
69,hp,other,3,2007,intel,core_2,unknown,unknown,2,intel,Intel GMA 965,3,ssd,256,0,256,0,14,1280,800,linux,0,0,0,0,1
244.69,lenovo,thinkpad,3,2018,other,other,unknown,unknown,1.6,intel,Intel UHD Graphics 620,16,ssd,256,0,256,0,14,1366,768,windows,0,0,1,0,1
